Delta,Theta,Alpha,Beta,Gamma, direction
5925 5922, 2398 2398, 1769 1767, 320 321, 123 124, Left
3885 3884, 1639 1638, 397 396, 164 165, 110 111, Left
3107 3113, 1252 1244, 416 431, 154 160, 168 171, Right
1740 1741, 684 686, 212 213, 95 94, 139 138, Right
1704 1711, 667 666, 339 342, 108 111, 138 137, Right
1715 1720, 687 685, 315 317, 106 106, 138 138, Right
1354 1352, 640 643, 345 340, 93 92, 136 136, Right
1176 1181, 744 740, 305 304, 128 135, 165 166, Right
1410 1414, 823 827, 216 205, 89 88, 158 159, Right
1457 1451, 803 807, 226 218, 90 95, 165 167, Right
1489 1489, 717 726, 324 315, 101 104, 183 184, Right
2815 2869, 2086 2082, 462 431, 267 268, 220 216, Right
4222 4234, 1336 1328, 319 321, 117 115, 178 178, Right
4501 4505, 1367 1363, 338 329, 101  99, 186 187, Right
4416 4417, 1343 1340, 413 415, 135 137, 183 184, Right
