Delta,Theta,Alpha,Beta,Gamma, direction
2592 2430, 1405 1283, 1993 2072, 2646 2653, 2757 2763, Left
761 482, 1396 1238, 1694 1526, 2677 2649, 2072 2101, Left
679 579, 1657 1297, 2174 2010, 2718 2654, 3287 3353, Left
789 829, 1939 1633, 2038 1898, 3027 3004, 3430 3467, Left
606 623, 1027 1019, 1741 1754, 2616 2639, 3419 3422, Left
1052  925, 899 878, 1904 1886, 2583 2524, 3165 3212, Left
857 901, 743 813, 1625 1719, 2645 2660, 3262 3222, Left
800 846, 1041 1021, 2074 2039, 2449 2427, 3253 3254, Left
744 483, 1101  817, 2055 1837, 2717 2618, 3136 3163, Left
676 612, 934 814, 1676 1625, 3054 2994, 3206 3226, Right
472 628, 1297 1161, 1646 1594, 3032 3043, 3156 3187, Right
829 661, 947 800, 1918 1808, 2760 2756, 3344 3365, Right
745 586, 1046  898, 1841 1803, 2933 2817, 3066 3135, Right
973 730, 1058  924, 1919 1792, 2756 2672, 3082 3130, Right
485 554, 770 773, 1588 1724, 2744 2716, 3357 3382, Right
516 339, 709 579, 1424 1460, 2256 2252, 3579 3609, Right
776 518, 948 725, 1297 1326, 2256 2161, 3855 3902, Right
713 593, 945 736, 1273 1301, 2297 2238, 3709 3748, Left
644 624, 968 915, 1673 1588, 2835 2851, 3697 3692, Left
635 694, 728 786, 1605 1638, 3049 3048, 3289 3258, Left
600 681, 725 784, 1750 1802, 2964 2966, 3299 3273, Left
802 818, 801 879, 1759 1789, 2486 2511, 3442 3426, Left
 925 1023, 1113 1152, 1701 1750, 2224 2242, 3900 3862, Left
 905 1050, 1228 1324, 1715 1756, 1935 1998, 3573 3515, Left
1147 1115, 1238 1271, 1463 1502, 2199 2174, 3622 3627, Left
839 753, 1227 1404, 1569 1349, 2100 2138, 3695 3650, Left
966 909, 1368 1414, 1539 1469, 2192 2315, 3879 3860, Left
1078  974, 1203 1159, 1753 1708, 2024 2103, 3511 3520, Left
964 965, 1204 1265, 1559 1550, 2063 2044, 3508 3521, Left
688 975, 1262 1488, 1678 1855, 2187 2272, 3702 3572, Left
713 890, 1271 1295, 1552 1822, 1677 1826, 3767 3757, Left
662 901, 1297 1295, 1548 1861, 1639 1766, 3615 3628, Left
687 876, 1290 1314, 1564 1825, 1647 1774, 3610 3623, Left
494 626, 1122 1185, 1391 1579, 1564 1659, 3717 3659, Left
411 527, 1121 1172, 1475 1710, 1633 1911, 4221 4161, Left
667 579, 1034  985, 1257 1321, 1619 1855, 3991 3980, Left
889 705, 1420 1386, 1162 1092, 1959 2004, 3893 3930, Left
959 745, 1388 1379, 1330 1124, 2004 1981, 3902 3930, Left
1109  960, 1451 1349, 1721 1438, 2127 2062, 3606 3657, Left
982 899, 1577 1519, 1781 1592, 2207 2061, 3666 3726, Left
971 828, 1636 1505, 1808 1646, 2235 2047, 3739 3799, Left
931 632, 1111 1323, 1895 1652, 2179 1940, 3573 3614, Left
917 671,  943 1128, 1817 1655, 2220 1996, 3572 3602, Left
836 661, 1013 1089, 1821 1748, 2287 2052, 3785 3824, Left
551 436, 1392 1328, 1604 1532, 2105 1830, 3633 3656, Left
537 434, 1470 1358, 1625 1428, 2077 1826, 3593 3645, Left
500 431, 1401 1267, 1573 1401, 2064 1902, 3744 3801, Left
689 600, 1504 1141, 1651 1485, 2357 2243, 3773 3845, Left
785 743, 1662 1304, 2196 2148, 2681 2593, 4086 4145, Left
929 886, 1629 1300, 2127 1928, 2749 2702, 3854 3949, Left
1070 1086, 1365 1180, 1823 1859, 3001 3017, 3804 3867, Left
904 943, 1255 1047, 1998 1971, 3067 3057, 3963 4026, Left
1061  842, 1278 1020, 1799 1711, 3067 3011, 4174 4233, Left
1080  784, 1315 1103, 1879 1840, 3015 2922, 4213 4265, Left
957 674, 1178 1084, 1686 1654, 2979 2910, 4134 4177, Left
959 711, 1193 1166, 1671 1713, 3176 3027, 4322 4345, Left
923 761, 1111  990, 1540 1586, 2745 2678, 3704 3735, Left
1071  922, 1165 1218, 1650 1793, 2903 2804, 3956 4010, Left
972 874, 1164 1121, 1741 1626, 3127 3031, 4138 4170, Left
864 907, 1109 1162, 1767 1660, 2750 2626, 3774 3819, Left
757 767, 1029 1074, 1535 1448, 2758 2624, 3995 4009, Left
1069  920, 1046  941, 1785 1585, 2914 2900, 3928 3942, Left
1148 1207, 1209 1303, 1706 1626, 2922 2949, 3783 3752, Left
 969 1055, 1398 1423, 1876 1857, 2883 2752, 4249 4242, Left
1080 1106, 1653 1575, 1976 2046, 2685 2735, 4264 4248, Left
1499 1466, 1700 1474, 2290 2009, 2816 2750, 4045 4048, Left
1285 1072, 1575 1576, 1885 1802, 2565 2496, 4273 4348, Left
751 977, 1472 1527, 2252 2023, 2502 2322, 4315 4360, Left
1073 1263, 1383 1343, 2000 1913, 2387 2210, 4257 4303, Left
1155  863, 1667 1438, 2357 2162, 2635 2446, 4234 4285, Left
795 853, 1205 1285, 2041 1920, 2580 2542, 4149 4130, Left
794 796, 1218 1445, 1836 1766, 2643 2452, 4138 4180, Left
1805 1532, 1948 1763, 1911 1615, 3196 2997, 4165 4215, Left
1909 1825, 2031 1941, 2066 1932, 3384 3104, 4071 4133, Left
3299 3154, 2093 1866, 2336 2148, 3385 3253, 4032 4067, Left
3078 3204, 1984 1970, 2272 2177, 3610 3582, 3871 3909, Left
3051 3135, 1884 1883, 2002 1878, 3666 3493, 4038 4106, Left
2987 3014, 1916 1734, 2102 2152, 3473 3335, 4024 4089, Left
2668 2810, 2072 2003, 2410 2453, 3320 3371, 3990 4002, Left
2785 2781, 2045 1827, 1965 1825, 3329 3303, 3987 4066, Right
2569 2898, 1170  879, 1748 1638, 3134 3166, 4025 4067, Right
1550 1477, 971 827, 1691 1544, 3301 3226, 4103 4122, Right
1123  750, 917 928, 1725 1603, 3430 3594, 4220 4248, Right
976 668, 880 888, 1725 1535, 3563 3618, 4191 4199, Right
1012  687, 860 715, 1762 1876, 3801 3719, 4396 4377, Right
1277 1159, 1075 1179, 1929 1763, 3386 3578, 4227 4255, Right
1167  871,  999 1202, 2178 2024, 3514 3537, 4232 4264, Right
1152 1007, 1041 1183, 2056 2055, 3360 3431, 4265 4309, Right
1507 1308,  952 1269, 2681 2610, 3280 3236, 4239 4299, Right
876 995,  875 1194, 1858 2076, 3373 3372, 4116 4110, Right
 895 1010, 1068 1084, 1796 1853, 3341 3313, 4350 4348, Right
 853 1082, 1407 1465, 2079 2283, 3228 3016, 4298 4276, Right
840 903, 1301 1238, 2063 2213, 3078 2919, 4221 4189, Right
989 938, 1532 1539, 2647 2498, 2728 2683, 4438 4452, Right
1061  893, 1011  832, 2001 1842, 2589 2482, 4442 4480, Right
772 704, 1263 1213, 1805 1647, 2703 2664, 4476 4478, Right
806 760, 1235 1072, 2075 1931, 2824 2799, 4191 4162, Right
1145  696, 1483 1211, 2224 2022, 3263 3201, 4206 4206, Right
1066 1012, 1516 1287, 2534 2464, 3208 3208, 4523 4464, Right
