DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
3529,1073,477,243,81,3504,1077,458,240,83,Left
1701,428,609,97,25,1704,432,601,97,25,Right
695,741,392,79,17,699,744,396,78,15,Right
691,1020,618,143,20,690,1022,620,142,19,Left
589,955,538,139,19,585,958,538,140,19,Left
698,760,500,128,17,695,761,503,128,17,Left
525,302,250,78,18,528,304,245,79,17,Right
525,302,250,78,18,528,304,245,79,17,Right
561,402,189,73,15,559,407,187,73,15,Right
531,361,167,72,14,530,366,164,73,14,Right
430,413,158,70,14,427,417,155,70,14,Right
186,358,178,77,18,183,354,179,78,18,Left
186,358,178,77,18,183,354,179,78,18,Left
348,388,176,71,15,344,388,177,70,16,Left
358,380,184,69,15,354,380,184,70,16,Left
404,326,194,74,19,407,325,194,74,20,Left
512,358,125,68,15,519,359,127,66,15,Right
549,317,105,68,13,551,319,108,67,14,Right
547,336,157,66,15,548,340,160,65,16,Right
540,323,156,63,13,541,322,159,63,14,Right
564,606,265,77,16,571,606,264,76,16,Left
645,548,276,73,14,646,546,274,73,15,Left
645,548,276,73,14,646,546,274,73,15,Left
591,556,259,73,14,595,554,257,73,14,Left
591,573,263,71,14,594,571,262,70,14,Left
554,1170,773,105,35,570,1186,761,99,34,Right
756,1315,647,72,15,756,1318,643,72,14,Right
733,1312,643,81,15,733,1315,639,80,15,Right
747,1311,642,80,15,746,1313,638,80,15,Right
840,1271,574,90,15,843,1270,570,91,15,Right
584,638,520,215,64,622,664,535,213,62,Right
1654,1159,428,99,21,1652,1166,436,101,21,Right
1745,1139,437,88,21,1745,1147,443,88,22,Right
1777,1154,444,93,19,1775,1164,451,91,20,Right
1801,1099,488,89,18,1801,1107,495,91,20,Right
