DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
5256,3933,2264,1024,779,5523,3927,2290,1061,799,5782,3895,2291,1086,891,5369,3864,2208,1038,876,Left
5266,3830,2139,1019,810,5458,3799,2173,1085,803,5641,3746,2186,1145,843,5047,3719,2192,1163,797,Left
1335,946,606,266,329,1432,932,619,279,338,1752,922,628,288,377,1264,935,618,279,369,Left
715,373,323,103,36,426,366,307,99,34,751,372,305,101,31,391,385,316,107,33,Left
625,330,265,114,27,346,330,251,107,26,668,335,245,110,24,303,343,249,117,27,Left
475,90,54,27,10,154,88,51,26,10,481,89,53,26,10,147,91,57,28,10,Left
476,88,52,27,10,153,86,50,26,10,481,87,51,26,10,145,90,54,27,10,Left
475,90,47,31,10,150,87,44,30,10,478,87,45,30,10,146,90,48,32,10,Left
477,94,55,33,11,152,91,52,31,10,479,92,52,32,10,147,94,55,33,11,Forward
854,659,354,233,879,481,643,353,241,891,704,647,363,280,981,477,647,350,286,957,Forward
1503,988,495,423,1224,1204,917,444,358,1248,1418,858,429,354,1386,1341,773,415,362,1366,Forward
1811,1160,559,540,1794,1506,1125,527,497,1840,1664,1083,518,480,2046,1520,991,453,439,2005,Forward
1810,1253,661,599,1892,1658,1196,595,541,1952,1766,1141,540,506,2165,1670,1066,472,460,2117,Forward
1848,1290,659,608,1877,1662,1211,606,549,1936,1808,1143,548,512,2152,1652,1085,464,470,2106,Forward
1926,1027,624,550,1704,1679,1027,600,529,1769,1878,1001,569,496,1969,1592,919,497,421,1927,Forward
1634,679,595,450,1252,1331,681,602,421,1291,1558,674,592,399,1429,1219,630,545,366,1397,Forward
1204,429,483,333,828,833,458,477,322,844,1074,489,472,322,942,849,509,452,313,928,Forward
844,451,449,442,940,566,438,428,430,959,839,446,412,416,1072,606,434,373,381,1051,Forward
1075,521,659,575,1374,775,517,595,568,1388,989,525,558,565,1525,731,540,517,521,1492,Forward
965,825,661,588,1592,823,701,695,557,1606,1026,618,737,574,1751,837,589,733,558,1703,Backward
1422,780,634,587,1695,1048,651,658,570,1717,1096,581,693,586,1875,1203,549,680,566,1828,Backward
1239,692,618,560,1613,977,579,631,542,1638,1180,504,660,565,1790,1006,457,645,553,1744,Backward
1228,672,422,389,1438,880,568,488,414,1450,1115,491,570,466,1577,988,421,595,488,1537,Backward
1314,534,272,298,1095,911,458,266,295,1116,1217,399,300,325,1232,986,334,333,340,1208,Backward
1176,207,287,133,460,837,154,245,94,482,1158,120,204,92,533,884,129,171,107,519,Backward
719,212,95,49,19,402,212,89,46,18,724,206,89,45,19,373,203,89,45,19,Backward
486,116,80,27,13,157,116,77,24,12,500,114,76,25,13,165,111,82,26,14,Backward
459,117,75,28,12,140,115,67,26,12,478,118,73,25,13,138,113,69,26,12,Backward
456,95,75,33,13,137,93,71,30,12,471,97,73,30,12,133,92,73,33,12,Backward
458,77,43,32,13,136,74,40,30,13,471,79,44,30,12,135,74,50,32,12,Backward
457,89,53,30,13,129,86,52,29,13,461,89,48,30,12,132,85,55,31,12,Backward
459,88,66,29,13,134,85,68,27,12,462,88,64,29,12,131,86,72,30,12,Backward
460,90,72,27,13,134,88,72,28,12,462,91,65,28,12,134,88,74,29,12,Right
4200,2428,822,177,584,3824,2477,833,183,597,3934,2491,836,190,668,3900,2437,821,181,654,Right
3936,2461,812,177,585,3677,2510,834,181,597,3914,2524,842,188,668,3626,2470,818,180,654,Right
4015,2469,810,175,585,3633,2511,829,181,597,3841,2520,833,189,668,3624,2474,814,179,654,Right
4056,2453,817,176,584,3659,2512,825,181,597,3956,2532,825,189,668,3629,2469,814,179,654,Right
4377,1402,548,206,66,3858,1407,557,212,68,3893,1404,560,216,70,3987,1411,569,224,73,Right
1284,225,115,56,21,777,224,114,56,21,1073,228,114,55,20,945,230,116,56,21,Right
549,136,77,33,14,241,135,75,31,14,568,137,74,30,14,217,140,77,31,14,Right
868,393,247,135,349,552,402,248,114,366,907,409,247,106,403,646,385,226,102,394,Right
1344,488,265,448,846,996,507,264,462,876,1289,513,266,457,968,1010,485,271,421,944,Right
1351,771,415,603,1189,1126,794,427,640,1224,1416,800,431,645,1352,1058,766,410,585,1324,Left
1374,770,424,602,1189,1105,792,435,638,1224,1397,797,440,643,1352,1069,762,430,583,1324,Left
1352,642,431,573,1119,1123,653,448,607,1144,1415,660,458,613,1268,1026,650,451,558,1247,Left
759,352,322,150,301,444,356,359,134,313,759,360,389,130,343,417,375,392,124,332,Left
802,197,108,36,11,455,195,104,35,11,773,182,99,34,11,452,184,103,35,11,Left
576,85,73,26,10,219,87,71,24,10,549,83,69,25,10,249,83,74,26,10,Left
523,59,68,26,10,188,58,65,25,10,520,57,64,25,10,199,61,69,27,10,Left
514,58,73,28,10,185,58,71,27,10,519,56,70,27,10,188,59,75,28,11,Left
490,96,91,28,11,161,94,88,27,11,492,93,88,27,10,165,97,91,28,11,Left
500,105,114,41,55,170,104,110,42,53,506,102,112,44,59,178,106,114,42,60,Forward
1075,681,434,124,383,693,697,462,117,398,1003,719,483,135,442,791,699,471,148,438,Forward
1325,862,467,204,405,964,876,489,206,431,1232,892,506,214,487,931,878,500,214,488,Forward
1206,870,450,262,594,960,887,468,277,619,1202,910,483,291,692,845,892,476,281,685,Forward
1247,969,500,364,1088,1037,1017,538,403,1114,1302,1052,572,438,1231,889,1041,574,418,1210,Forward
1211,888,637,567,1605,1021,975,651,633,1635,1216,1035,659,682,1802,883,1021,636,649,1771,Backward
993,2169,1101,759,1966,1076,2326,1095,831,2003,1282,2429,1128,899,2201,1006,2291,1147,879,2150,Backward
832,2903,1322,746,1937,907,2975,1373,808,1974,1091,3007,1420,867,2171,905,2946,1398,846,2123,Backward
1199,2871,1310,759,1688,999,2953,1391,835,1721,1102,2989,1454,897,1894,1078,2917,1418,862,1852,Backward
1189,2860,1328,712,1613,929,2913,1380,757,1651,1204,2936,1425,808,1818,900,2890,1412,792,1779,Backward
1182,2760,1292,499,1203,880,2830,1317,509,1230,1207,2862,1340,528,1356,846,2800,1310,516,1329,Backward
991,597,559,277,364,681,485,449,254,311,1019,394,367,266,323,609,348,310,271,317,Backward
737,150,64,27,14,333,145,60,27,12,661,147,62,27,13,416,148,67,26,13,Backward
544,108,71,25,14,239,104,59,25,12,563,109,62,26,13,218,106,71,25,14,Backward
495,164,74,29,15,166,160,64,28,13,495,161,68,30,14,175,163,74,30,15,Backward
2069,1349,648,208,697,1738,1369,651,212,713,1988,1363,646,218,791,1786,1345,640,209,775,Right
1927,1359,630,208,697,1704,1372,641,213,712,1972,1361,642,219,792,1649,1351,628,209,774,Right
1997,1327,624,207,697,1675,1362,645,212,713,1860,1363,653,219,792,1662,1334,628,209,775,Right
2061,1346,623,208,696,1705,1368,639,212,712,2034,1363,643,217,792,1661,1344,625,209,774,Right
2115,1238,727,191,759,1742,1308,716,197,776,2057,1338,695,201,859,1814,1277,687,160,837,Right
1077,325,156,73,30,694,322,154,73,30,1015,318,153,73,30,738,317,152,73,30,Right
484,92,63,28,20,158,92,62,29,23,482,94,64,32,25,151,97,65,34,23,Right
1478,604,200,221,832,1110,624,203,186,864,1231,660,206,153,964,975,713,163,130,944,Right
1711,738,428,381,1249,1373,794,442,378,1283,1595,833,444,363,1428,1431,790,376,318,1401,Right
2059,1233,575,464,1448,1945,1240,630,486,1469,2067,1251,668,501,1631,1917,1265,635,478,1604,Left
4179,1823,1098,689,1630,3810,1927,1211,715,1673,3850,1993,1301,745,1860,3824,1978,1320,731,1828,Left
4894,3317,1130,759,1774,4536,3396,1194,787,1821,4426,3433,1218,799,2029,4620,3364,1152,750,1992,Left
4916,3266,1089,705,1517,4450,3355,1144,736,1559,4414,3390,1168,756,1736,4580,3293,1113,726,1704,Left
4879,3487,1074,741,1420,4438,3556,1125,748,1482,4603,3578,1162,751,1658,4543,3522,1155,717,1632,Left
4174,3296,1060,725,1680,3961,3373,1060,745,1737,4204,3413,1048,755,1938,3907,3363,993,732,1905,Left
3748,1812,1436,733,1714,3395,1757,1397,710,1760,3254,1701,1355,707,1939,3542,1602,1263,665,1894,Left
2289,890,826,655,1828,2053,879,824,657,1878,2001,893,812,668,2086,2200,874,748,637,2048,Left
2023,1354,1182,729,2015,1984,1357,1196,732,2045,2025,1431,1231,781,2267,1974,1470,1184,778,2237,Forward
2329,1161,1194,838,2336,2217,1248,1238,874,2376,2203,1340,1289,924,2614,2207,1379,1249,879,2567,Forward
2019,1353,1268,940,2317,1986,1480,1322,1009,2343,2081,1594,1370,1064,2581,1960,1624,1310,997,2541,Forward
2140,1391,1132,754,2138,2088,1505,1174,858,2153,2300,1603,1243,946,2356,2035,1610,1217,908,2319,Forward
1984,1256,1165,732,1832,1914,1321,1232,800,1860,2153,1384,1292,856,2052,1807,1360,1269,811,2016,Forward
1419,1040,764,602,1425,1190,1046,862,683,1445,1545,1045,929,734,1590,1192,1028,887,679,1561,Forward
1356,789,697,415,902,1052,825,623,341,918,1346,867,549,295,1007,1042,880,467,270,993,Forward
865,396,474,385,913,495,395,478,391,931,724,382,458,389,1023,547,365,410,365,1000,Backward
927,390,471,381,913,631,389,475,386,931,917,373,455,385,1023,632,354,407,362,1001,Backward
945,411,446,376,893,617,416,447,381,912,906,402,427,378,1004,642,382,377,353,982,Backward
942,353,330,347,822,644,338,304,358,820,955,324,283,353,894,619,309,259,324,875,Backward
925,325,225,193,587,620,312,243,234,593,971,301,257,261,653,672,311,264,253,642,Backward
860,91,104,27,15,621,89,97,26,13,951,86,97,27,13,540,89,108,28,13,Backward
490,112,77,29,14,184,112,68,26,13,510,108,74,27,13,168,110,78,28,13,Backward
3712,1157,540,160,607,3343,1163,559,165,623,3488,1160,566,168,691,3406,1150,543,163,675,Right
3476,1169,543,157,607,3191,1191,556,167,623,3390,1199,560,173,692,3161,1171,543,163,674,Right
