Delta,Theta,Alpha,Beta,Gamma, direction
4095.37430323 4098.23296545,549.60714678 390.01868116,412.39160552 228.8638102 ,1281.78086939 1346.54074066,2355.54118524 2365.56775865,Right
 997.95938811 1080.6143224 ,919.2241772  952.62147317,878.8199843  920.99951695,1876.10302769 1941.44842567,2205.04385277 2165.04316746,Right
887.89337694 893.2360383 ,929.32774989 973.26124653, 994.33434699 1011.78519695,2082.23839094 2096.00370141,1850.58828606 1834.32650567,Right
968.51450557 941.52969954,1059.50802745 1036.52271061,1295.11022516 1278.61382416,2015.09899085 2018.33166516,1840.29379948 1835.8234677 ,Right
1032.19461977  931.77936511,911.13161889 893.05829804,1268.13107699 1194.16244692,2361.39995392 2389.26667892,2087.32796785 2114.31897789,Right
1037.74950244 1058.21194329,902.92443684 986.75338359,1616.94339638 1608.22504204,2275.20131915 2327.23094016,2099.78692738 2098.93449902,Right
829.75338589 900.86320283,842.09162786 949.2095611 ,1319.56163735 1290.1782422 ,2375.64165837 2402.5874338 ,2300.04691786 2283.31589058,Right
765.55707392 905.14036609,908.85889517 987.68174824,1206.77812176 1215.46047025,2401.48642595 2442.24977715,2403.91369704 2392.71576965,Right
1107.64054469  990.64595659,1034.46525953 1188.64714193,2508.71153767 2690.99628818,2970.34070202 2988.52718126,2542.15120801 2520.84775799,Right
1707.2553321  1634.99821544,1368.27734574 1481.59253714,1976.86641867 2103.49381509,2963.06882663 3018.73763769,2717.60163796 2670.19551997,Right
3047.30073113 3107.12374129,2236.51974524 2153.97546443,1924.20377462 2013.27331814,3298.18957758 3337.57092419,2785.21071342 2710.58876603,Right
3457.6885186  3630.83033015,2071.15595503 1979.44855149,1907.76314567 1955.80292598,3647.16915522 3720.17521659,2887.99604436 2814.99568148,Right
4980.80560207 5103.21521385,1762.14595791 1789.79094915,1482.88602027 1595.96240941,3783.99317473 3836.58583507,2889.23284107 2810.31447989,Right
4594.55961463 4715.61830115,2350.69777858 2247.55141659,1611.57492837 1642.23696671,4132.46843387 4175.49606113,2945.11378402 2895.84728523,Right
5237.96693823 5284.71135288,1955.78158871 1988.81787206,1676.40151595 1901.70992524,4104.0235359 4166.2773832,2913.31933325 2845.12797258,Right
5044.18704332 5049.99732852,1833.76890895 1816.46365805,1466.37899669 1640.00787983,3989.7896902  4015.55915397,2979.8802049  2926.22412981,Right
5046.50424416 5097.47141673,2070.03974562 2019.26147451,2005.50250279 2157.20754339,4162.9099603  4257.56641229,2944.46527841 2905.37215249,Right
5199.85122444 5221.95784746,2141.96382535 1928.68369711,2327.44905418 2410.19380542,4334.58424136 4369.42138855,2835.70592686 2810.87947194,Right
5024.07723057 5127.01560665,2007.82839849 1920.56768168,1562.54143392 1723.13433503,4463.40623543 4499.39047903,2857.27485188 2831.39595099,Right
5125.80225305 5192.83347032,1657.16422416 1469.54222746,2509.49018231 2457.27697076,4243.06002477 4258.96864137,2747.10191723 2743.48276598,Right
5156.54882137 5191.4000133 ,1480.04928209 1359.88682218,1828.59828827 1925.27303608,3796.97826445 3734.71557622,2615.48551141 2570.35110281,Right
4726.8499785  4746.57709837,2119.20337458 2022.27855234,1882.48040516 1887.52204707,3312.10415064 3307.92577864,2377.69787455 2383.26964784,Left
3648.07046064 3821.72868298,1559.9309318  1627.35130582,1515.77447623 1620.23466313,3310.15627206 3283.02926109,2295.01421231 2309.76252853,Left
