DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
157,113,121,56,29,158,113,120,57,30,Forward
111,108,96,50,30,113,109,95,51,29,Forward
115,103,96,50,29,113,103,98,50,28,Backward
102,95,72,51,34,102,96,70,52,33,Backward
106,87,69,57,35,104,89,68,59,34,Backward
104,61,67,58,34,101,62,64,59,34,Backward
92,77,68,62,34,87,78,65,62,35,Backward
100,92,60,68,36,99,96,57,68,36,Backward
95,98,74,61,36,94,100,72,62,36,Backward
109,131,55,61,36,110,132,56,62,36,Backward
128,89,71,62,37,128,88,74,63,36,Backward
113,97,64,54,35,116,97,64,55,36,Backward
127,129,93,56,39,130,130,94,57,38,Right
113,135,88,54,33,112,135,87,52,33,Right
113,135,88,54,33,112,135,87,52,33,Right
116,126,92,56,33,116,125,91,55,33,Right
114,115,81,57,34,116,114,81,57,33,Right
122,109,90,54,32,119,110,92,54,32,Right
111,119,100,51,35,110,121,102,52,34,Right
123,120,91,54,33,122,123,91,56,32,Right
104,109,112,53,33,104,113,110,54,33,Right
85,133,95,58,34,87,136,95,58,33,Right
104,135,76,63,32,104,132,76,63,34,Left
108,125,103,63,35,106,124,101,63,36,Left
106,130,118,70,36,105,128,116,71,36,Left
129,148,127,72,35,132,148,127,72,35,Left
96,164,122,72,34,98,166,120,72,34,Left
106,177,117,69,34,108,177,115,68,34,Left
128,164,100,60,33,131,165,96,59,33,Left
104,139,64,49,33,103,139,60,48,33,Left
93,109,80,48,34,96,108,75,47,34,Left
92,103,76,50,33,92,104,74,49,33,Left
83,82,73,56,34,83,83,76,54,34,Left
148,126,60,55,36,147,129,59,55,35,Forward
144,110,59,52,35,144,111,62,53,34,Forward
151,113,76,54,34,153,114,77,55,34,Forward
133,118,66,54,34,134,117,67,56,34,Forward
142,65,99,54,35,141,66,95,55,34,Backward
111,85,91,54,34,113,83,85,56,34,Backward
103,76,82,51,33,106,76,77,52,34,Backward
111,87,86,46,34,114,89,81,46,34,Backward
104,97,73,48,35,106,99,72,48,35,Backward
111,99,68,45,35,111,102,71,45,34,Backward
138,125,64,48,33,137,127,67,48,33,Backward
147,141,86,49,35,146,145,85,50,34,Right
151,154,90,50,33,148,154,87,51,32,Right
142,148,97,48,33,141,147,93,50,32,Right
119,138,74,45,32,118,138,73,46,32,Right
124,122,75,50,32,123,121,75,50,33,Right
114,136,61,47,32,115,136,61,49,32,Right
107,109,68,52,32,107,109,67,52,33,Right
131,129,67,61,33,129,127,66,62,33,Left
117,120,76,65,33,116,118,72,66,33,Left
145,121,71,64,35,146,118,69,65,35,Left
157,120,77,62,34,157,119,75,61,33,Left
134,133,91,70,35,134,134,91,69,35,Forward
146,155,95,65,34,144,154,95,66,34,Forward
149,133,96,66,35,147,134,96,67,35,Forward
138,130,69,62,35,136,134,73,62,35,Forward
142,146,74,57,33,144,146,76,56,34,Forward
136,131,71,58,32,136,131,72,56,33,Forward
133,124,65,58,32,132,126,64,58,33,Forward
140,115,74,63,32,140,117,72,62,32,Forward
132,84,80,63,32,131,86,77,63,32,Forward
113,84,80,62,29,113,86,79,60,29,Forward
116,84,99,63,33,116,85,100,62,33,Forward
91,87,107,67,32,96,85,107,64,33,Backward
114,93,88,70,32,114,89,88,69,32,Backward
89,117,90,72,32,92,112,92,71,33,Backward
86,91,88,73,34,86,89,87,71,33,Backward
103,82,99,69,34,102,78,100,68,33,Backward
72,79,88,62,35,73,77,86,62,35,Right
85,80,78,56,35,83,79,79,55,34,Right
74,81,76,52,35,71,82,78,53,34,Right
93,103,74,53,34,92,103,74,55,33,Right
112,95,64,50,34,114,93,61,50,34,Right
107,108,81,54,33,107,105,82,54,32,Right
103,117,91,55,34,106,114,92,55,34,Right
112,124,89,53,33,116,121,91,53,33,Right
84,87,88,54,33,86,86,89,55,33,Right
81,69,86,56,32,81,70,86,56,32,Right
88,76,71,58,31,87,78,72,59,31,Right
117,76,71,62,32,117,75,72,63,32,Left
116,101,71,68,35,116,99,71,68,34,Left
117,95,72,70,33,118,98,72,68,33,Left
