DeltaRight,ThetaRight,AlphaRight,BetaRight,GammaRight,DeltaLeft,ThetaLeft,AlphaLeft,BetaLeft,GammaLeft,Direction
2499,679,346,197,73,2478,676,346,196,73,Left
1287,146,118,47,18,1291,145,118,47,18,Left
372,146,77,42,17,373,154,76,43,17,Left
163,120,82,37,17,162,125,80,37,17,Left
168,136,87,36,12,167,136,89,38,13,Forward
158,146,78,36,12,158,148,77,37,13,Forward
167,140,62,38,12,165,142,63,38,13,Forward
168,141,47,36,13,169,143,49,37,14,Forward
172,131,59,33,13,172,131,61,33,14,Forward
193,92,71,35,15,193,94,72,34,15,Forward
191,106,61,31,13,189,106,62,31,13,Backward
182,119,44,35,13,184,116,47,35,13,Backward
134,155,66,33,13,134,154,64,33,13,Backward
119,146,62,26,12,120,146,60,27,12,Backward
106,166,73,30,12,107,166,73,30,11,Right
100,138,65,35,12,100,137,65,36,11,Right
114,131,71,35,12,113,132,70,36,12,Right
141,138,71,36,12,141,140,69,37,12,Right
132,110,80,36,14,132,110,78,37,14,Right
130,111,71,40,12,129,112,69,41,12,Right
143,105,56,42,12,143,108,56,42,13,Right
135,105,68,44,12,138,107,66,45,13,Right
120,102,65,43,13,118,105,66,42,13,Left
106,95,85,47,13,106,95,84,46,13,Left
121,88,96,39,12,120,88,92,40,12,Left
126,95,131,42,12,126,95,130,42,12,Left
122,90,130,46,12,121,89,130,47,12,Left
118,97,96,42,12,118,96,100,41,12,Forward
158,112,75,33,12,158,110,75,33,12,Forward
158,117,66,34,12,159,117,67,33,12,Forward
160,115,66,35,12,160,116,68,34,12,Forward
187,140,71,35,12,187,138,72,35,13,Forward
167,139,79,38,13,168,138,82,37,13,Forward
133,113,92,39,13,133,114,93,38,13,Forward
157,143,80,42,13,156,143,80,42,13,Forward
153,140,78,40,13,154,138,77,41,13,Forward
157,134,66,42,13,158,134,66,43,13,Forward
152,140,56,41,14,154,140,56,42,14,Forward
86,95,76,41,13,86,95,74,41,13,Backward
115,74,72,39,13,114,74,72,39,13,Backward
102,89,83,36,13,100,86,83,37,14,Backward
91,92,68,38,13,92,90,67,38,12,Backward
91,139,56,37,13,90,137,54,37,13,Right
87,153,96,55,15,87,150,94,55,15,Right
80,145,119,50,12,80,145,117,49,12,Right
82,141,124,50,13,82,142,124,50,12,Right
95,124,121,51,13,94,126,121,50,13,Right
89,120,125,47,13,91,121,125,46,13,Right
94,114,111,38,13,96,118,110,37,13,Right
102,98,101,36,13,101,101,101,34,14,Right
87,95,77,33,14,90,95,75,34,14,Right
90,105,78,37,13,91,109,77,38,14,Right
143,99,60,37,14,142,104,58,36,14,Right
154,110,64,38,14,157,114,64,38,14,Right
170,78,68,38,14,172,78,66,38,14,Left
